"","title","rank","studio","lifetime_gross","year","omdb.Awards","omdb.Genre","omdb.Metascore","omdb.imdbRating"
"2174","Little Giants",3470,"WB",19306362,1994,NA,NA,NA,NA
"2175","Little Man",1384,"SonR",58645052,2006,NA,NA,NA,NA
"2176","Little Man Tate",2995,"Orion",25010896,1991,NA,NA,NA,NA
"2177","Little Miss Sunshine",1354,"FoxS",59891098,2006,NA,NA,NA,NA
"2178","Little Nicky",2087,"NL",39464775,2000,NA,NA,NA,NA
"2179","Little Shop of Horrors",2113,"WB",38982260,1986,NA,NA,NA,NA
"2180","Little Women (1994)",1667,"Sony",50083616,1994,NA,NA,NA,NA
"2181","Live and Let Die",2313,"UA",35377836,1973,NA,NA,NA,NA
"2182","Live By Night",4602,"WB",10378555,2016,NA,NA,NA,NA
"2183","Live Free or Die Hard",423,"Fox",134529403,2007,"3 wins & 16 nominations.","Action, Adventure, Thriller","69","7.2"
"2184","Living Out Loud",4238,"NL",12905901,1998,NA,NA,NA,NA
"2185","Loaded Weapon 1",2771,"NL",27979399,1993,NA,NA,NA,NA
"2186","Lock Up",3199,"TriS",22099847,1989,NA,NA,NA,NA
"2187","Lockout",4044,"FD",14326864,2012,NA,NA,NA,NA
"2188","Logan (2017)",150,"Fox",226277068,2017,NA,NA,NA,NA
"2189","Logan Lucky",2783,"BST",27780977,2017,"2 wins & 9 nominations.","Comedy, Crime, Drama","78","7.0"
"2190","London Has Fallen",1288,"Focus",62678608,2016,NA,NA,NA,NA
"2191","Lone Star",4308,"SPC",12408986,1996,NA,NA,NA,NA
"2192","Lone Survivor",491,"Uni.",125095601,2013,"Nominated for 2 Oscars. Another 5 wins & 14 nominations.","Action, Biography, Drama","60","7.5"
"2193","Lone Wolf McQuade",4336,"Orion",12232628,1983,NA,NA,NA,NA
"2194","Look Who's Talking",391,"TriS",140088813,1989,"5 wins & 2 nominations.","Comedy","51","5.8"
"2195","Look Who's Talking Now",4609,"TriS",10340263,1993,NA,NA,NA,NA
"2196","Look Who's Talking Too",1743,"TriS",47789074,1990,NA,NA,NA,NA
"2197","Looking for Mr. Goodbar",3161,"Par.",22512655,1977,NA,NA,NA,NA
"2198","Looney Tunes: Back in Action",3310,"WB",20991364,2003,NA,NA,NA,NA
"2199","Looper",1194,"TriS",66486205,2012,NA,NA,NA,NA
"2200","Lord of Illusions",4180,"MGM",13294422,1995,NA,NA,NA,NA
"2201","Lord of War",3046,"Lions",24149632,2005,NA,NA,NA,NA
"2202","Lords of Dogtown",4466,"Sony",11273517,2005,NA,NA,NA,NA
"2203","Loser",3870,"Sony",15618626,2000,NA,NA,NA,NA
"2204","Lost in America",4635,"WB",10179000,1985,NA,NA,NA,NA
"2205","Lost in Space",1140,"NL",69117629,1998,NA,NA,NA,NA
"2206","Lost in Translation",1861,"Focus",44585453,2003,NA,NA,NA,NA
"2207","Lost in Yonkers",4762,"Col.",9285189,1993,NA,NA,NA,NA
"2208","Lost Souls",3740,"NL",16815253,2000,NA,NA,NA,NA
"2209","Lottery Ticket",3012,"WB",24719879,2010,NA,NA,NA,NA
"2210","Love & Basketball",2799,"NL",27459615,2000,NA,NA,NA,NA
"2211","Love & Friendship",4090,"RAtt.",14016568,2016,NA,NA,NA,NA
"2212","Love & Mercy",4283,"RAtt.",12551031,2015,NA,NA,NA,NA
"2213","Love Actually",1359,"Uni.",59696144,2003,NA,NA,NA,NA
"2214","Love Affair",3573,"WB",18272894,1994,NA,NA,NA,NA
"2215","Love and Death",3398,"UA",20123742,1975,NA,NA,NA,NA
"2216","Love and Other Drugs",2498,"Fox",32367005,2010,NA,NA,NA,NA
"2217","Love at First Bite",1887,"AIP",43885000,1979,NA,NA,NA,NA
"2218","Love Don't Cost a Thing",3207,"WB",21924226,2003,NA,NA,NA,NA
"2219","Love Happens",3126,"Uni.",22965110,2009,NA,NA,NA,NA
"2220","Love Jones",4298,"NL",12479335,1997,NA,NA,NA,NA
"2221","Love Story",633,"Par.",106397186,1970,NA,NA,NA,NA
"2222","Love the Coopers",2879,"LGF",26302731,2015,NA,NA,NA,NA
"2223","Love, Simon",2023,"Fox",40826341,2018,NA,NA,NA,NA
"2224","Lovesick",4637,"WB",10171304,1983,NA,NA,NA,NA
"2225","Lucas",4928,"Fox",8200000,1986,NA,NA,NA,NA
"2226","Lucky Lady",3029,"Fox",24441725,1975,NA,NA,NA,NA
"2227","Lucky Number Slevin",3164,"MGM/W",22495466,2006,NA,NA,NA,NA
"2228","Lucky Numbers",4664,"Par.",10042516,2000,NA,NA,NA,NA
"2229","Lucy",479,"Uni.",126663600,2014,"1 win & 11 nominations.","Action, Sci-Fi, Thriller","61","6.4"
"2230","M.A.S.H.",915,"Fox",81600000,1970,NA,NA,NA,NA
"2231","MacGruber",4874,"Uni.",8525600,2010,NA,NA,NA,NA
"2232","Machete",2857,"Fox",26593646,2010,NA,NA,NA,NA
"2233","Machete Kills",4970,"ORF",8008161,2013,NA,NA,NA,NA
"2234","Mad City",4572,"WB",10541523,1997,NA,NA,NA,NA
"2235","Mad Dog and Glory",4491,"Uni.",11081586,1993,NA,NA,NA,NA
"2236","Mad Hot Ballroom",4940,"ParC",8117961,2005,NA,NA,NA,NA
"2237","Mad Love",3890,"BV",15453274,1995,NA,NA,NA,NA
"2238","Mad Max",4839,"Film",8750000,1980,NA,NA,NA,NA
"2239","Mad Max Beyond Thunderdome",2271,"WB",36230219,1985,NA,NA,NA,NA
"2240","Mad Max: Fury Road",331,"WB",154058340,2015,"Won 6 Oscars. Another 232 wins & 219 nominations.","Action, Adventure, Sci-Fi, Thriller","90","8.1"
"2241","Mad Money",3339,"Over.",20668843,2008,NA,NA,NA,NA
"2242","Madagascar",207,"DW",193595521,2005,"4 wins & 31 nominations.","Animation, Adventure, Comedy, Family","57","6.9"
"2243","Madagascar 3: Europe's Most Wanted",169,"P/DW",216391482,2012,"2 wins & 20 nominations.","Animation, Adventure, Comedy","60","6.9"
"2244","Madagascar: Escape 2 Africa",242,"P/DW",180010950,2008,"3 wins & 11 nominations.","Animation, Adventure, Comedy","61","6.7"
"2245","Made in America",1845,"WB",44942695,1993,NA,NA,NA,NA
"2246","Made of Honor",1806,"Sony",46012734,2008,NA,NA,NA,NA
"2247","Madeline",2672,"Sony",29967750,1998,NA,NA,NA,NA
"2248","Madhouse",3302,"Orion",21036771,1990,NA,NA,NA,NA
"2249","Madonna: Truth or Dare",3946,"Mira.",15012935,1991,NA,NA,NA,NA
"2250","Mafia!",3419,"BV",19889299,1998,NA,NA,NA,NA
"2251","Magic in the Moonlight",4573,"SPC",10539326,2014,NA,NA,NA,NA
"2252","Magic Mike",573,"WB",113721571,2012,NA,NA,NA,NA
"2253","Magic Mike XXL",1204,"WB",66013057,2015,NA,NA,NA,NA
"2254","Magnificent Desolation (IMAX)",2386,"Imax",34137524,2005,NA,NA,NA,NA
"2255","Magnolia",3170,"NL",22455976,1999,NA,NA,NA,NA
"2256","Magnum Force",2074,"WB",39768000,1973,NA,NA,NA,NA
"2257","Maid in Manhattan",755,"SonR",94011225,2002,NA,NA,NA,NA
"2258","Maid to Order",4695,"NCeV",9868521,1987,NA,NA,NA,NA
"2259","Major League",1683,"Par.",49797148,1989,NA,NA,NA,NA
"2260","Major League II",2619,"WB",30626182,1994,NA,NA,NA,NA
"2261","Major Payne",2692,"Uni.",29412050,1995,NA,NA,NA,NA
"2262","Making Love",4380,"Fox",11897978,1982,NA,NA,NA,NA
"2263","Malcolm X",1724,"WB",48169910,1992,NA,NA,NA,NA
"2264","Maleficent",129,"BV",241410378,2014,"Nominated for 1 Oscar. Another 10 wins & 42 nominations.","Action, Adventure, Family","56","7.0"
"2265","Malibu's Most Wanted",2370,"WB",34432201,2003,NA,NA,NA,NA
"2266","Malice",1796,"Col.",46405336,1993,NA,NA,NA,NA
"2267","Mama",1080,"Uni.",71628180,2013,NA,NA,NA,NA
"2268","Mamma Mia!",373,"Uni.",144130063,2008,"Nominated for 2 Golden Globes. Another 15 wins & 24 nominations.","Comedy, Musical, Romance","51","6.4"
"2269","Mamma Mia! Here We Go Again",516,"Uni.",120634935,2018,NA,NA,NA,NA
"2270","Man's Best Friend",4233,"NL",12974636,1993,NA,NA,NA,NA
"2271","Man of Steel",87,"WB",291045518,2013,"7 wins & 46 nominations.","Action, Adventure, Fantasy","55","7.1"
"2272","Man of the House",2064,"BV",40070995,1995,NA,NA,NA,NA
"2273","Man of the House",3439,"Sony",19699706,2005,NA,NA,NA,NA
"2274","Man of the Year",2204,"Uni.",37327390,2006,NA,NA,NA,NA
"2275","Man on a Ledge",3541,"LG/S",18620000,2012,NA,NA,NA,NA
"2276","Man on Fire",973,"Fox",77911774,2004,NA,NA,NA,NA
"2277","Man on the Moon",2361,"Uni.",34607430,1999,NA,NA,NA,NA
"2278","Manchester by the Sea",1745,"RAtt.",47695371,2016,NA,NA,NA,NA
"2279","Mandela: Long Walk to Freedom",4907,"Wein.",8323085,2013,NA,NA,NA,NA
"2280","Manhattan",2069,"MGM",39946780,1979,NA,NA,NA,NA
"2281","Manhattan Murder Mystery",4456,"TriS",11330911,1993,NA,NA,NA,NA
"2282","Manhunter",4855,"DEG",8620929,1986,NA,NA,NA,NA
"2283","Mannequin",1942,"Fox",42721196,1987,NA,NA,NA,NA
"2284","Marathon Man",3221,"Par.",21709020,1976,NA,NA,NA,NA
"2285","March of the Penguins",980,"WIP",77437223,2005,NA,NA,NA,NA
"2286","Marie Antoinette",3836,"Sony",15962471,2006,NA,NA,NA,NA
"2287","Marked for Death",1805,"Fox",46044396,1990,NA,NA,NA,NA
"2288","Marley and Me",377,"Fox",143153751,2008,NA,NA,NA,NA
"2289","Marmaduke",2414,"Fox",33644788,2010,NA,NA,NA,NA
"2290","Married to the Mob",3246,"Orion",21486757,1988,NA,NA,NA,NA
"2291","Mars Attacks!",2179,"WB",37771017,1996,NA,NA,NA,NA
"2292","Mars Needs Moms",3262,"BV",21392758,2011,NA,NA,NA,NA
"2293","Marshall",4662,"ORF",10051659,2017,"Nominated for 1 Oscar. Another 4 wins & 16 nominations.","Biography, Drama","66","7.2"
"2294","Martin Lawrence Live: Runteldat",3482,"Par.",19184820,2002,NA,NA,NA,NA
"2295","Marvel's The Avengers",7,"BV",623357910,2012,NA,NA,NA,NA
"2296","Marvin's Room",4252,"Mira.",12803305,1996,NA,NA,NA,NA
"2297","Mary Poppins",671,"Dis.",102272727,1964,NA,NA,NA,NA
"2298","Mary Shelley's Frankenstein",3202,"Sony",22006296,1994,NA,NA,NA,NA
"2299","Mask",1722,"Uni.",48230162,1985,NA,NA,NA,NA
"2300","Masquerade",3846,"MGM",15855828,1988,NA,NA,NA,NA
"2301","Master and Commander: The Far Side of the World",757,"Fox",93927920,2003,NA,NA,NA,NA
"2302","Masterminds (2016)",3672,"Rela.",17368022,2016,NA,NA,NA,NA
"2303","Masters of the Universe",3676,"Can.",17336370,1987,NA,NA,NA,NA
"2304","Match Point",3114,"DW",23151529,2005,NA,NA,NA,NA
"2305","Matchstick Men",2225,"WB",36906460,2003,NA,NA,NA,NA
"2306","Material Girls",4441,"MGM",11449638,2006,NA,NA,NA,NA
"2307","Matilda",2424,"Sony",33459416,1996,NA,NA,NA,NA
"2308","Matinee",4735,"Uni.",9532895,1993,NA,NA,NA,NA
"2309","Maverick",679,"WB",101631272,1994,NA,NA,NA,NA
"2310","Max (2015)",1945,"WB",42656255,2015,NA,NA,NA,NA
"2311","Max Dugan Returns",3633,"Fox",17613720,1983,NA,NA,NA,NA
"2312","Max Keeble's Big Move",3684,"BV",17294293,2001,NA,NA,NA,NA
"2313","Max Payne",2027,"Fox",40689393,2008,NA,NA,NA,NA
"2314","Maximum Risk",4014,"Sony",14502483,1996,NA,NA,NA,NA
"2315","Maze Runner: The Death Cure",1402,"Fox",58032443,2018,NA,NA,NA,NA
"2316","Maze Runner: The Scorch Trials",912,"Fox",81697192,2015,NA,NA,NA,NA
"2317","McFarland, USA",1865,"BV",44482410,2015,NA,NA,NA,NA
"2318","Me Before You",1463,"WB (NL)",56245075,2016,NA,NA,NA,NA
"2319","Me, Myself and Irene",796,"Fox",90570999,2000,NA,NA,NA,NA
"2320","Mean Girls",844,"Par.",86058055,2004,NA,NA,NA,NA
"2321","Meatballs",1924,"Par.",43046003,1979,NA,NA,NA,NA
"2322","Mechanic: Resurrection",3279,"LG/S",21218403,2016,NA,NA,NA,NA
"2323","Medicine Man",1826,"BV",45500797,1992,NA,NA,NA,NA
"2324","Meet Dave",4390,"Fox",11803254,2008,NA,NA,NA,NA
"2325","Meet Joe Black",1860,"Uni.",44619100,1998,NA,NA,NA,NA
"2326","Meet the Blacks",4790,"Free",9097072,2016,NA,NA,NA,NA
"2327","Meet the Fockers",95,"Uni.",279261160,2004,"2 wins & 7 nominations.","Comedy, Romance","41","6.3"
"2328","Meet the Parents",290,"Uni.",166244045,2000,"Nominated for 1 Oscar. Another 7 wins & 14 nominations.","Comedy, Romance","73","7.0"
"2329","Meet the Robinsons",729,"BV",97822171,2007,NA,NA,NA,NA
"2330","Meet the Spartans",2147,"Fox",38233676,2008,NA,NA,NA,NA
"2331","Megamind",354,"P/DW",148415853,2010,"2 wins & 16 nominations.","Animation, Action, Comedy","63","7.3"
"2332","Megan Leavey",4163,"BST",13406883,2017,"1 win.","Biography, Drama, War","66","7.1"
"2333","Memento",2938,"NM",25544867,2001,NA,NA,NA,NA
"2334","Memoirs of a Geisha",1418,"Sony",57490508,2005,NA,NA,NA,NA
"2335","Memoirs of an Invisible Man",4041,"WB",14358033,1992,NA,NA,NA,NA
"2336","Memphis Belle",2801,"WB",27441977,1990,NA,NA,NA,NA
"2337","Men at Work",3798,"Triu",16247964,1990,NA,NA,NA,NA
"2338","Men in Black",118,"Sony",250690539,1997,"Won 1 Oscar. Another 19 wins & 39 nominations.","Adventure, Comedy, Mystery, Sci-Fi","71","7.3"
"2339","Men in Black II",213,"Sony",190418803,2002,"4 wins & 15 nominations.","Action, Adventure, Comedy","49","6.1"
"2340","Men of Honor",1706,"Fox",48818921,2000,NA,NA,NA,NA
"2341","Menace II Society",2773,"NL",27912072,1993,NA,NA,NA,NA
"2342","Mercury Rising",2456,"Uni.",32935289,1998,NA,NA,NA,NA
"2343","Mermaids",2312,"Orion",35419397,1990,NA,NA,NA,NA
"2344","Message in a Bottle",1559,"WB",52880016,1999,NA,NA,NA,NA
"2345","Meteor",4892,"AIP",8400000,1979,NA,NA,NA,NA
"2346","Metro",2529,"BV",32000301,1997,NA,NA,NA,NA
"2347","Miami Blues",4691,"Orion",9888167,1990,NA,NA,NA,NA
"2348","Miami Vice",1271,"Uni.",63450470,2006,NA,NA,NA,NA
"2349","MIB 3",247,"Sony",179020854,2012,NA,NA,NA,NA
"2350","Michael",745,"NL",95318203,1996,NA,NA,NA,NA
"2351","Michael Clayton",1701,"WB",49033882,2007,NA,NA,NA,NA
"2352","Michael Collins",4490,"WB",11092559,1996,NA,NA,NA,NA
"2353","Michael Jackson's This Is It",1072,"Sony",72091016,2009,NA,NA,NA,NA
"2354","Michael Jordan to the Max (IMAX)",3534,"Imax",18650521,2000,NA,NA,NA,NA
"2355","Mickey Blue Eyes",2398,"WB",33864342,1999,NA,NA,NA,NA
"2356","Micki and Maude",2892,"Col.",26080861,1984,NA,NA,NA,NA
"2357","Middle School: The Worst Years of My Life",3411,"LGF",20007149,2016,NA,NA,NA,NA
"2358","Midnight Cowboy",1856,"UA",44785053,1969,NA,NA,NA,NA
"2359","Midnight Express",2343,"Col.",3.5e+07,1978,NA,NA,NA,NA
"2360","Midnight in Paris",1444,"SPC",56817045,2011,NA,NA,NA,NA
"2361","Midnight in the Garden of Good & Evil",2981,"WB",25105255,1997,NA,NA,NA,NA
"2362","Midnight Run",2134,"Uni.",38413606,1988,NA,NA,NA,NA
"2363","Midnight Sun",4730,"Global Road",9561064,2018,NA,NA,NA,NA
"2364","Mighty Joe Young",1650,"BV",50632037,1998,NA,NA,NA,NA
"2365","Mighty Morphin' Power Rangers",2149,"Fox",38187431,1995,NA,NA,NA,NA
"2366","Mike and Dave Need Wedding Dates",1807,"Fox",46009673,2016,NA,NA,NA,NA
"2367","Mile 22",2274,"STX",36108758,2018,NA,NA,NA,NA
"2368","Milk",2538,"Focus",31841299,2008,NA,NA,NA,NA
"2369","Milk Money",3582,"Par.",18137661,1994,NA,NA,NA,NA
"2370","Million Dollar Arm",2253,"BV",36457627,2014,NA,NA,NA,NA
"2371","Million Dollar Baby",701,"WB",100492203,2004,NA,NA,NA,NA
"2372","Mimic",2948,"Mira.",25480490,1997,NA,NA,NA,NA
"2373","Minions",53,"Uni.",336045770,2015,"Nominated for 1 BAFTA Film Award. Another 4 wins & 24 nominations.","Animation, Action, Adventure","56","6.4"
"2374","Minority Report",439,"Fox",132072926,2002,"Nominated for 1 Oscar. Another 19 wins & 85 nominations.","Action, Adventure, Crime, Drama, Mystery, Sci-Fi, Thriller","80","7.7"
"2375","Miracle",1245,"BV",64378093,2004,NA,NA,NA,NA
"2376","Miracle at St. Anna",4984,"BV",7919117,2008,NA,NA,NA,NA
"2377","Miracle on 34th Street (1994)",3681,"Fox",17320136,1994,NA,NA,NA,NA
"2378","Miracles from Heaven",1304,"TriS",61705123,2016,NA,NA,NA,NA
"2379","Mirror Mirror",1234,"Rela.",64935167,2012,NA,NA,NA,NA
"2380","Mirrors",2613,"Fox",30691439,2008,NA,NA,NA,NA
"2381","Mischief",4846,"Fox",8692426,1985,NA,NA,NA,NA
"2382","Misery",1314,"Col.",61276872,1990,NA,NA,NA,NA
"2383","Miss Congeniality",628,"WB",106807667,2000,NA,NA,NA,NA
"2384","Miss Congeniality 2: Armed and Fabulous",1712,"WB",48478006,2005,NA,NA,NA,NA
"2385","Miss Peregrine's Home for Peculiar Children",829,"Fox",87242834,2016,NA,NA,NA,NA
"2386","Miss Pettigrew Lives for a Day",4321,"Focus",12313694,2008,NA,NA,NA,NA
"2387","Missing",4097,"Uni.",1.4e+07,1982,NA,NA,NA,NA
"2388","Missing in Action",3138,"Can.",22812411,1984,NA,NA,NA,NA
"2389","Missing in Action II: The Beginning",4534,"Can.",10755447,1985,NA,NA,NA,NA
"2390","Mission to Mars",1321,"BV",60883407,2000,NA,NA,NA,NA
"2391","Mission: Impossible",239,"Par.",180981856,1996,NA,NA,NA,NA
"2392","Mission: Impossible - Fallout",155,"Par.",220159104,2018,"N/A","Action, Adventure, Thriller","86","8.0"
"2393","Mission: Impossible - Ghost Protocol",180,"Par.",209397903,2011,"5 wins & 30 nominations.","Action, Adventure, Thriller","73","7.4"
"2394","Mission: Impossible - Ghost Protocol",180,"Par.",209397903,2011,"5 wins & 30 nominations.","Action, Adventure, Thriller","73","7.4"
"2395","Mission: Impossible - Rogue Nation",206,"Par.",195042377,2015,"6 wins & 23 nominations.","Action, Adventure, Thriller","75","7.4"
"2396","Mission: Impossible II",171,"Par.",215409889,2000,"11 wins & 19 nominations.","Action, Adventure, Thriller","59","6.1"
"2397","Mission: Impossible III",428,"Par.",134029801,2006,"7 wins & 14 nominations.","Action, Adventure, Thriller","66","6.9"
"2398","Mississippi Burning",2363,"Orion",34603943,1988,NA,NA,NA,NA
"2399","Mo' Better Blues",3807,"Uni.",16153593,1990,NA,NA,NA,NA
"2400","Mo' Money",2049,"Col.",40227006,1992,NA,NA,NA,NA
"2401","Moana",120,"BV",248757044,2016,"Nominated for 2 Oscars. Another 18 wins & 83 nominations.","Animation, Adventure, Comedy","81","7.6"
"2402","Mobsters",3383,"Uni.",20246790,1991,NA,NA,NA,NA
"2403","Modern Problems",2888,"Fox",26154211,1981,NA,NA,NA,NA
"2404","Molly's Game",2729,"STX",28780744,2017,NA,NA,NA,NA
"2405","Moment by Moment",4512,"Uni.",10963824,1978,NA,NA,NA,NA
"2406","Mommie Dearest",3497,"Par.",19032261,1981,NA,NA,NA,NA
"2407","Moms' Night Out",4590,"TriS",10429707,2014,NA,NA,NA,NA
"2408","Mona Lisa Smile",1258,"SonR",63860942,2003,NA,NA,NA,NA
"2409","Money Monster",2007,"TriS",41012075,2016,NA,NA,NA,NA
"2410","Money Talks",2016,"NL",40922619,1997,NA,NA,NA,NA
"2411","Money Train",2309,"Sony",35431113,1995,NA,NA,NA,NA
"2412","Moneyball",1015,"Sony",75605492,2011,NA,NA,NA,NA
"2413","Monkey Kingdom",3774,"BV",16432322,2015,NA,NA,NA,NA
"2414","Monkey Trouble",3773,"NL",16453258,1994,NA,NA,NA,NA
"2415","Monsignor",4309,"Fox",12408066,1982,NA,NA,NA,NA
"2416","Monsoon Wedding",4108,"USA",13885966,2002,NA,NA,NA,NA
"2417","Monster",2369,"NM",34469210,2003,NA,NA,NA,NA
"2418","Monster's Ball",2575,"Lions",31273922,2001,NA,NA,NA,NA
"2419","Monster-in-Law",894,"NL",82931301,2005,NA,NA,NA,NA
"2420","Monster House",1048,"Sony",73661010,2006,NA,NA,NA,NA
"2421","Monster Trucks",2433,"Par.",33370166,2017,"2 nominations.","Action, Adventure, Comedy","41","5.7"
"2422","Monsters University",99,"BV",268492764,2013,"Nominated for 1 BAFTA Film Award. Another 9 wins & 56 nominations.","Animation, Adventure, Comedy","65","7.3"
"2423","Monsters Vs. Aliens",201,"P/DW",198351526,2009,NA,NA,NA,NA
"2424","Monsters, Inc.",90,"BV",289916256,2001,"Won 1 Oscar. Another 13 wins & 38 nominations.","Animation, Adventure, Comedy","78","8.1"
"2425","Monte Carlo",3112,"Fox",23186769,2011,NA,NA,NA,NA
"2426","Monty Python's Life of Brian",3407,"WB",20045115,1979,NA,NA,NA,NA
"2427","Monty Python's The Meaning of Life",3956,"Uni.",14929552,1983,NA,NA,NA,NA
"2428","Moon Over Parador",4442,"Uni.",11444204,1988,NA,NA,NA,NA
"2429","Moonlight (2016)",2776,"A24",27854932,2016,NA,NA,NA,NA
"2430","Moonraker",1113,"MGM",70308099,1979,NA,NA,NA,NA
"2431","Moonrise Kingdom",1825,"Focus",45512466,2012,NA,NA,NA,NA
"2432","Moonstruck",930,"MGM",80640528,1987,NA,NA,NA,NA
"2433","More American Graffiti",3944,"Uni.",15014674,1979,NA,NA,NA,NA
"2434","Morning Glory",2595,"Par.",31011732,2010,NA,NA,NA,NA
"2435","Mortal Kombat",1110,"NL",70454098,1995,NA,NA,NA,NA
"2436","Mortal Kombat: Annihilation",2284,"NL",35927406,1997,NA,NA,NA,NA
"2437","Mortal Thoughts",3520,"Col.",18784957,1991,NA,NA,NA,NA
"2438","Moscow on the Hudson",2987,"Col.",25068724,1984,NA,NA,NA,NA
"2439","Mother's Day",2487,"ORF",32492859,2016,NA,NA,NA,NA
"2440","Mother (1996)",3487,"Par.",19145198,1996,NA,NA,NA,NA
"2441","mother!",3610,"Par.",17800004,2017,NA,NA,NA,NA
"2442","Moulin Rouge!",1422,"Fox",57386607,2001,NA,NA,NA,NA
"2443","Mouse Hunt",1300,"DW",61917389,1997,NA,NA,NA,NA
"2444","Movie 43",4829,"Rela.",8840453,2013,NA,NA,NA,NA
"2445","Moving",4528,"WB",10815378,1988,NA,NA,NA,NA
"2446","Moving Violations",4556,"Fox",10627754,1985,NA,NA,NA,NA
"2447","Mr. & Mrs. Smith",224,"Fox",186336279,2005,"9 wins & 18 nominations.","Action, Comedy, Crime","55","6.5"
"2448","Mr. 3000",3215,"BV",21811187,2004,NA,NA,NA,NA
"2449","Mr. Baseball",3319,"Uni.",20883046,1992,NA,NA,NA,NA
"2450","Mr. Bean's Holiday",2437,"Uni.",33302167,2007,NA,NA,NA,NA
"2451","Mr. Brooks",2745,"MGM",28549298,2007,NA,NA,NA,NA
"2452","Mr. Deeds",484,"Sony",126293452,2002,"5 wins & 9 nominations.","Comedy, Romance","24","5.8"
"2453","Mr. Destiny",3898,"BV",15379253,1990,NA,NA,NA,NA
"2454","Mr. Holland's Opus",900,"BV",82569971,1995,NA,NA,NA,NA
"2455","Mr. Holmes",3620,"RAtt.",17737646,2015,NA,NA,NA,NA
"2456","Mr. Jones",4900,"TriS",8345845,1993,NA,NA,NA,NA
"2457","Mr. Magoo",3255,"BV",21437192,1997,NA,NA,NA,NA
"2458","Mr. Magorium's Wonder Emporium",2520,"Fox",32061555,2007,NA,NA,NA,NA
"2459","Mr. Mom",1236,"Fox",64783827,1983,NA,NA,NA,NA
"2460","Mr. Nice Guy",4263,"NL",12716953,1998,NA,NA,NA,NA
"2461","Mr. Peabody & Sherman",591,"Fox",111506430,2014,NA,NA,NA,NA
"2462","Mr. Popper's Penguins",1153,"Fox",68224452,2011,NA,NA,NA,NA
"2463","Mr. Saturday Night",4172,"Col.",13351357,1992,NA,NA,NA,NA
"2464","Mr. Woodcock",2919,"NL",25799486,2007,NA,NA,NA,NA
"2465","Mr. Wrong",4248,"BV",12825141,1996,NA,NA,NA,NA
"2466","Mrs. Brown",4768,"Mira.",9229808,1997,NA,NA,NA,NA
"2467","Mrs. Doubtfire",158,"Fox",219195243,1993,"Won 1 Oscar. Another 10 wins & 9 nominations.","Comedy, Drama, Family","53","6.9"
"2468","Mrs. Henderson Presents",4497,"Wein.",11036366,2005,NA,NA,NA,NA
"2469","Mrs. Winterbourne",4658,"Sony",10082005,1996,NA,NA,NA,NA
"2470","Much Ado About Nothing",3155,"Gold.",22549338,1993,NA,NA,NA,NA
"2471","Mud",3234,"RAtt.",21590086,2013,NA,NA,NA,NA
"2472","Mulan",517,"BV",120620254,1998,NA,NA,NA,NA
"2473","Mulholland Falls",4432,"MGM",11526099,1996,NA,NA,NA,NA
"2474","Multiplicity",3296,"Sony",21075014,1996,NA,NA,NA,NA
"2475","Munich",1755,"Uni.",47403685,2005,NA,NA,NA,NA
"2476","Muppet Treasure Island",2378,"BV",34327391,1996,NA,NA,NA,NA
"2477","Muppets from Space",3758,"Sony",16625807,1999,NA,NA,NA,NA
"2478","Muppets Most Wanted",1625,"BV",51183113,2014,NA,NA,NA,NA
"2479","Murder at 1600",2917,"WB",25804707,1997,NA,NA,NA,NA
"2480","Murder by Numbers",2531,"WB",31945749,2002,NA,NA,NA,NA
"2481","Murder in the First",3667,"WB",17381942,1995,NA,NA,NA,NA
"2482","Murder on the Orient Express",2792,"Par.",27634716,1974,"18 nominations.","Crime, Drama, Mystery","52","6.5"
"2483","Murder on the Orient Express (2017)",660,"Fox",102826543,2017,NA,NA,NA,NA
"2484","Muriel's Wedding",3927,"Mira.",15119639,1995,NA,NA,NA,NA
"2485","Murphy's Law",4684,"Can.",9947631,1986,NA,NA,NA,NA
"2486","Murphy's Romance",2603,"Col.",30867525,1985,NA,NA,NA,NA
"2487","Music and Lyrics",1653,"WB",50572589,2007,NA,NA,NA,NA
"2488","Music of the Heart",3966,"Mira.",14859394,1999,NA,NA,NA,NA
"2489","Must Love Dogs",1886,"WB",43894863,2005,NA,NA,NA,NA
"2490","My Baby's Daddy",3626,"Mira.",17669317,2004,NA,NA,NA,NA
"2491","My Best Friend's Girl",3477,"LGF",19219250,2008,NA,NA,NA,NA
"2492","My Best Friend's Wedding",474,"Sony",127120029,1997,"Nominated for 1 Oscar. Another 12 wins & 22 nominations.","Comedy, Drama, Romance","50","6.3"
"2493","My Big Fat Greek Wedding",128,"IFC",241438208,2002,"Nominated for 1 Oscar. Another 20 wins & 28 nominations.","Comedy, Drama, Romance","62","6.6"
"2494","My Big Fat Greek Wedding 2",1361,"Uni.",59689605,2016,NA,NA,NA,NA
"2495","My Bloody Valentine 3-D",1611,"LGF",51545952,2009,NA,NA,NA,NA
"2496","My Blue Heaven",3082,"WB",23591472,1990,NA,NA,NA,NA
"2497","My Bodyguard",3167,"Fox",22482952,1980,NA,NA,NA,NA
"2498","My Boss's Daughter",3878,"Dim.",15550605,2003,NA,NA,NA,NA
"2499","My Cousin Vinny",1555,"Fox",52929168,1992,NA,NA,NA,NA
